,income
9034,0
34008,1
48711,0
35707,0
36924,0
14349,0
30082,0
31665,0
19691,1
37823,0
2989,0
3676,0
42815,0
48436,0
40770,0
46170,0
23187,0
25523,0
16409,1
20065,0
13893,0
687,0
33134,0
30203,1
27475,0
9229,0
11921,1
31937,0
14692,0
45990,0
45717,0
18908,0
11811,0
42821,0
30559,0
45083,0
34844,0
9204,1
18141,1
3377,0
17039,0
40838,1
27090,0
9196,0
4485,0
736,0
19998,1
9777,1
7507,0
43058,0
41748,1
26614,1
20807,0
1314,1
1538,0
37737,0
10482,1
16245,0
41358,0
35834,1
22099,0
40880,1
11178,1
41637,0
43285,0
37448,0
42833,0
24363,1
19630,0
31888,0
40903,1
4027,0
31627,0
45544,1
45521,1
28324,0
18781,0
10927,0
27474,0
35831,0
37907,0
41651,0
45456,1
6874,0
26264,0
40452,1
33365,0
44254,0
22439,1
20655,0
35815,0
8741,1
6255,0
16104,0
21313,0
48169,0
23817,0
1594,0
37188,0
25039,1
34689,0
43199,1
45053,1
45499,0
14271,0
9870,0
39605,0
43547,0
13973,0
22954,0
5103,0
22849,0
46870,1
21984,0
27349,0
30526,0
22087,1
42929,0
43465,1
16307,0
21139,0
47680,1
4759,0
24847,1
32078,0
24132,0
28128,0
42194,0
27043,0
38042,0
35681,0
1885,0
3436,0
26959,0
36882,0
36845,0
31498,0
8435,0
7976,1
10537,0
5245,0
26733,0
38783,0
43741,0
48222,0
3690,0
9067,0
14947,0
28771,0
48676,1
20345,0
4956,0
20376,1
35127,0
36720,1
2039,1
12102,0
19914,0
32913,0
230,0
40683,0
47264,1
1243,1
22225,1
8973,1
24119,0
22111,1
5177,0
18758,0
47678,0
21099,0
13332,0
29179,0
8415,0
1667,0
10586,0
12621,0
10565,0
45924,0
23762,0
4758,1
27133,0
2618,1
45114,0
47827,0
607,0
48232,0
26949,1
17410,0
43850,0
32012,1
17352,0
29422,0
38208,0
2329,0
11270,0
4646,0
26429,1
38864,0
1265,0
25544,0
4423,0
5136,0
35919,0
48258,0
614,0
161,0
36384,0
19336,0
14037,0
5544,0
40761,0
22544,1
32910,0
26665,0
8147,0
27147,0
12522,1
35143,0
40010,1
25485,0
18210,1
17071,0
22421,1
1145,1
16980,0
19324,0
6172,0
31671,1
43179,1
20475,0
45010,0
38720,0
19408,0
45785,0
4886,0
39517,1
34644,0
14447,0
44480,0
9287,0
10483,1
31229,1
40229,1
25059,0
32104,0
35187,1
43939,0
881,1
19624,0
16615,0
16884,0
30488,0
18448,1
28700,1
1368,1
1575,0
19803,0
46390,0
3399,0
35824,0
34811,0
8656,1
768,0
34995,0
45762,0
18337,1
27490,1
47055,0
37419,0
31980,0
27266,0
46062,0
37129,0
7714,1
42745,0
48023,0
29469,0
14303,0
13538,0
20294,0
18912,0
41963,1
19000,0
27057,0
3893,0
40721,0
28550,1
42435,1
1286,1
46551,1
691,0
7863,0
31144,0
1628,0
5054,0
27008,0
4442,0
45737,1
17391,0
46621,0
14475,0
28028,0
13735,0
29334,0
40321,1
22022,0
40511,1
30440,0
1141,0
47184,0
34250,0
5435,0
25182,0
42340,0
2546,1
41183,0
48185,0
33215,1
23412,0
34183,1
2345,1
4082,0
21339,0
23389,1
38947,0
46562,0
33212,0
15132,1
7865,0
11165,0
6380,0
9563,0
45117,0
11137,0
46821,0
3140,1
6648,1
34648,1
33043,0
21593,0
32235,0
38180,0
24348,1
13794,1
19927,0
41147,0
40782,1
15141,1
47866,0
23648,0
7049,0
19250,1
26687,0
6386,0
48429,0
34917,0
4868,0
37414,0
40091,0
48298,0
23362,0
10436,0
7451,0
17339,1
442,0
38730,0
48817,0
2883,1
23951,0
43568,1
40272,1
32617,0
23814,0
41065,1
36212,0
41312,0
44938,0
26968,0
9019,0
25311,1
38892,0
38039,0
8937,0
48018,1
3999,0
18753,0
32792,0
2500,0
3320,0
48442,0
24925,1
13228,1
1655,1
24170,1
35517,0
38273,0
3480,1
44596,0
8010,0
24159,0
34970,1
34675,1
5298,0
25013,0
8055,1
43200,0
26155,1
19343,0
2383,0
27332,1
47557,0
32660,0
24569,1
5929,1
44726,0
46661,0
11895,0
48008,0
606,1
509,0
40503,0
12654,0
7940,0
21695,0
22360,0
4171,0
18177,0
40324,0
3895,1
18544,0
27627,0
35510,0
48406,0
31789,0
46910,0
19956,0
8989,1
7006,1
15685,0
11706,1
29799,0
21573,1
26370,1
26423,0
21330,0
40419,0
27318,0
39158,0
20703,0
25873,0
25043,0
30414,1
14169,0
36738,0
30032,0
48053,1
35682,1
27296,0
31854,0
43358,0
14112,0
13406,1
39470,0
11445,0
3949,0
37649,0
9692,0
48408,1
29391,0
21124,1
23057,0
38862,0
5237,0
26619,0
24142,1
25139,1
28555,0
44791,0
29954,1
17957,1
21511,0
10710,0
13670,0
37523,0
1943,1
17038,0
4182,1
45781,1
22207,0
33657,0
20789,0
35188,0
8046,0
42043,1
6394,0
12399,0
41856,0
19073,0
20876,1
1422,0
22977,0
33321,0
23285,1
1598,0
34616,0
36762,1
2844,1
3632,0
44595,0
6777,0
8318,0
15701,0
7860,0
40554,0
13114,1
37338,0
22918,0
15947,0
19934,0
30734,1
16411,0
9570,0
47174,0
3513,1
9627,0
14242,0
26594,0
10638,0
44374,0
43103,1
2593,1
33336,0
28622,0
13462,0
43086,0
35305,0
23972,0
2470,1
37641,1
8632,1
32984,0
9005,1
43001,0
41530,0
38030,0
8126,0
29243,1
824,0
25055,1
2756,1
9468,1
39409,0
19045,0
21212,0
1251,0
13182,0
43677,0
5257,0
18716,0
38814,0
18161,0
11790,0
36042,0
7657,1
42202,1
1267,0
21625,0
41630,0
20742,0
10965,1
5915,0
13882,0
38711,0
17790,1
41940,0
32106,0
26145,0
31768,0
15333,0
31261,0
24558,0
12272,0
46734,0
34143,0
20963,0
4535,0
16011,0
16114,0
41460,1
35859,1
45985,0
32345,0
30373,1
23628,0
38663,0
44158,0
2308,1
32555,0
21977,0
20340,1
13318,0
33057,0
20722,0
48050,0
34775,0
4945,0
45992,1
16296,0
9812,1
3088,0
25138,0
28867,0
42530,0
15076,0
16129,0
38109,0
32631,1
41868,1
42693,0
40949,0
9146,1
16987,1
27936,0
243,0
24146,0
13060,0
19588,0
3330,0
8914,1
16554,0
43296,1
3321,1
1152,0
4616,0
40095,0
30238,0
20535,1
360,0
45961,0
22718,1
38669,0
26133,0
48449,0
11753,1
35527,1
11909,1
38712,0
35438,0
43836,1
31359,0
43626,0
9729,0
8176,0
42979,0
18645,0
19620,0
8578,0
27742,0
41791,0
28787,0
47734,0
2699,0
19570,0
48081,0
33907,1
29374,0
32011,0
32420,0
40200,0
45453,0
4830,0
41566,0
2946,0
27890,0
46606,0
44180,0
22719,0
38569,1
39945,1
23752,1
471,0
36556,0
5376,0
25264,0
40651,0
11856,1
1061,0
34502,0
1995,0
3038,0
23845,1
4622,1
15149,0
29427,0
40457,0
32926,1
23971,0
34573,0
10170,0
31358,0
31968,1
25408,0
34049,1
21539,0
38546,0
32661,0
40874,0
43056,1
42665,1
30937,0
11111,1
41348,0
5789,0
33963,1
8135,0
4227,0
44810,0
6720,0
19925,1
284,0
46354,0
909,0
3909,1
25862,1
34488,1
28578,0
29147,1
21717,0
23590,1
29713,0
15171,0
6980,0
18456,0
16603,0
44961,1
13199,1
14148,1
32901,1
40796,0
8991,0
6489,0
39580,0
29260,0
40482,0
31477,0
45575,0
14493,0
11288,0
35512,1
24137,0
18664,0
45431,0
45099,1
17355,0
13000,0
41927,0
41595,0
5730,0
33457,0
40953,1
40821,1
26263,0
44820,0
18140,1
10763,0
11930,1
8526,0
24063,1
25350,0
46779,0
20720,0
16291,0
48458,0
43225,0
29556,0
38640,0
29299,0
32977,0
41855,0
35701,0
17763,0
42051,0
4681,0
10750,0
19049,0
15303,0
48747,0
42970,0
7708,0
15667,0
26801,1
34370,0
1931,0
34072,0
22035,1
46648,0
12349,0
3210,0
38277,0
39739,0
32498,0
30879,0
30715,0
23943,0
12686,0
38167,0
28421,0
20301,0
20256,0
20081,0
41806,1
28826,0
29286,0
44068,0
4838,0
39771,0
32536,1
41999,0
39030,0
20277,1
33042,0
6789,0
36793,0
34947,0
19591,0
12268,0
16494,0
10896,1
16822,0
25474,0
46374,0
13364,0
3815,0
11708,0
29698,0
12025,0
30223,0
46966,1
40415,1
29868,0
18164,0
43052,1
28671,1
23650,0
14944,0
15965,0
22599,0
9696,0
39363,0
40594,0
13366,1
25084,1
33229,0
19494,1
34989,0
26327,1
28871,0
19132,0
17789,1
41674,0
29863,0
1238,0
10551,0
32224,0
48088,1
37447,0
21385,1
6303,1
39737,0
15572,0
3054,0
40327,0
46127,0
29961,0
29831,0
29267,0
46881,1
5382,0
35988,0
46410,0
7210,0
28537,1
48043,1
39332,0
13800,0
11573,0
12163,1
2488,0
37358,0
39432,0
5385,1
34601,0
9344,0
28020,0
4718,0
48301,1
36827,0
12591,1
35054,0
30838,0
26082,0
35095,1
20896,0
25438,1
8615,0
33371,0
1470,1
24690,0
7894,0
44388,1
22241,0
14099,0
30540,0
14932,1
29198,0
33615,0
24387,0
31799,1
9259,0
24044,1
12610,0
40465,1
42907,1
38556,0
30018,0
2290,0
41924,0
14244,0
26528,0
25290,1
2160,1
31681,1
9957,0
37550,0
32511,0
16327,0
6881,0
3725,0
12000,0
3840,0
7284,0
14698,0
11379,0
23909,0
34314,0
21833,1
11118,0
31476,0
10886,0
19780,0
33211,0
16811,1
15943,0
9841,0
47956,0
31155,0
6182,0
23666,0
11841,1
38096,1
22323,1
18723,0
41453,0
48615,0
13057,0
44443,0
19883,0
6908,0
29065,0
2272,0
10544,0
28134,1
8822,0
3514,0
24154,1
2253,0
12582,0
28889,0
13071,0
47131,0
48839,0
32820,0
19259,0
21463,0
1250,1
40307,1
46006,1
3640,0
24338,0
43655,0
13817,0
730,0
32475,0
48624,0
44257,0
39289,0
18162,0
37467,0
32938,0
19539,0
28870,1
15188,1
29379,0
1431,0
13113,0
37567,0
34556,0
2512,1
32580,1
47093,0
13513,0
32896,0
47562,0
28874,0
22246,1
48445,0
27848,0
9826,1
46312,0
25001,0
12785,0
5036,0
40440,1
48003,0
26352,1
37293,0
1091,1
26534,1
8354,0
3894,1
9892,0
43370,0
33247,1
38731,0
24554,1
15671,0
31827,0
45847,0
18708,0
32417,0
41671,0
19041,1
2516,0
21128,1
43245,1
48485,0
32823,0
34893,0
39032,0
46060,0
34003,1
24686,0
31128,1
11771,0
32854,0
46349,0
41408,0
41121,0
2513,0
21408,1
14972,0
2790,0
35160,1
18571,1
3471,0
31061,0
45111,0
740,0
21227,0
5785,0
26437,1
36429,0
37068,0
11649,0
35662,0
35553,1
18943,1
39175,1
40900,1
15590,1
40009,0
20178,0
25666,0
42182,0
45954,0
47219,0
29590,0
12913,0
28285,0
6196,1
31963,0
12033,0
31499,0
47460,1
20060,0
22624,0
27023,1
1219,1
35959,0
29702,0
45608,0
41418,1
19291,1
42880,0
28017,0
1384,0
40937,1
1158,0
13020,0
25851,1
13302,0
6994,1
3631,0
48129,0
17731,0
16755,0
21327,0
9739,0
22998,0
31399,0
24723,0
9688,1
26553,0
45477,0
15037,1
25126,0
3102,0
34149,0
14629,1
17168,0
8833,1
1087,0
39748,1
11590,0
37103,0
21434,0
38433,0
22210,1
19674,0
46548,0
34703,1
31650,0
42978,0
31657,0
14980,0
11879,0
8252,1
30645,1
9960,0
13362,0
24427,1
9395,0
13659,0
43313,0
1864,1
4590,0
41980,0
29163,0
42245,0
38041,0
8504,0
42003,1
24110,0
16405,0
37208,0
28902,0
16960,1
45063,0
5343,0
46321,0
23087,1
38043,0
10937,1
41921,0
47166,0
42627,0
33061,1
13652,0
33293,1
48389,0
30552,0
30051,0
7435,0
19188,0
1960,0
37002,1
28646,0
36461,0
41515,0
38161,0
32887,0
32304,0
14905,0
36623,0
22091,0
6416,1
31312,0
3178,0
8287,0
8026,1
33137,0
8598,0
17580,0
32017,0
25977,0
15533,0
14917,0
39455,0
4156,0
613,0
40628,1
36238,0
6166,0
29945,0
40283,0
42502,0
25646,1
19851,0
18160,0
5246,0
5487,1
29691,0
16903,1
39346,0
9987,0
22555,1
1361,1
17726,0
9921,1
29599,0
42540,0
36571,0
30871,0
5468,0
15136,0
22891,0
36341,1
891,0
14893,0
20677,0
43266,0
28817,1
42933,1
7105,0
13560,0
14799,0
29406,1
24876,0
29423,0
8297,0
3319,0
39837,0
31779,0
29505,0
17930,0
21082,0
32360,0
33948,1
25834,0
48515,0
37614,0
44441,0
12394,1
39057,0
37257,1
46805,0
24205,0
35083,0
12620,1
32103,0
19835,0
25676,0
27300,1
10504,0
10864,0
37410,1
15294,0
18788,0
28736,0
31455,0
45307,0
32712,0
41938,0
40237,0
30693,0
43560,1
10621,1
13363,0
29534,0
24319,1
36489,1
16700,1
45495,0
20731,1
36475,0
23763,1
19396,0
28336,0
18473,1
45076,0
47181,0
17315,1
8531,0
47417,0
1353,0
15452,0
48672,0
37261,0
19595,1
7002,0
2774,1
36668,0
30736,1
48177,0
21291,1
43327,0
3804,0
15875,1
46289,1
47089,0
24562,0
21813,0
29504,1
20649,1
8593,0
6065,0
1309,1
26193,1
24555,0
31400,0
35198,0
28495,0
41044,1
44329,0
18697,0
7487,0
6535,1
40987,0
12177,0
20318,0
27060,1
31059,0
28541,0
30216,1
44269,0
47930,0
27906,1
1917,0
3057,0
6355,0
28625,0
44270,0
22690,0
19489,0
8781,1
23528,1
34139,0
27461,0
46294,0
1387,1
27024,0
21682,0
1978,1
13857,0
33263,1
21544,0
27496,0
40756,1
15672,0
20728,0
34521,1
27022,1
11211,1
22708,1
35048,0
31722,0
23928,0
5333,0
42062,0
42861,0
20182,0
23660,0
44647,0
9006,0
17225,0
6207,0
18780,0
30882,0
39684,1
14513,1
3059,0
25650,0
531,0
4889,0
40158,0
47357,0
8110,0
1603,1
23502,0
44594,0
22120,1
4607,0
9633,0
14783,0
22251,1
1902,0
23011,1
3334,0
39243,0
6544,0
43523,0
47702,0
38235,1
17351,1
47314,1
48125,0
33965,0
39796,0
23794,0
25215,1
41827,0
25410,0
41535,0
22558,0
15098,0
17507,0
45483,0
32317,0
19867,0
21619,0
13942,0
39765,0
9093,1
23409,0
2264,0
46244,0
31948,0
42078,0
24465,1
13315,0
45091,0
41099,0
46070,0
43841,0
15808,0
48152,0
28413,0
26566,0
35442,0
14874,1
8426,0
14284,0
18535,1
33076,0
31518,0
44995,0
14481,0
7116,0
13042,1
39512,0
43311,0
16434,0
45336,0
9101,1
41912,0
28751,0
30286,0
24766,0
32923,0
39598,0
22433,0
20890,1
33494,0
21460,0
19634,0
39653,0
20274,0
43188,0
14206,0
2529,1
35541,0
17025,0
1858,0
33472,0
26841,1
15297,0
46209,1
47521,0
40894,1
40107,0
28918,1
35993,0
2496,0
21792,1
37698,1
16226,0
26476,1
13638,0
8607,0
33049,0
11931,1
30108,0
7821,0
6781,0
30579,0
8576,0
954,0
5197,0
23501,1
25582,0
32885,0
31763,1
42118,0
27660,0
36464,0
3748,0
12827,1
29466,0
16740,1
40869,0
34080,0
43735,1
42626,0
418,0
3962,0
7539,0
14571,0
27961,0
18314,1
24220,1
32327,0
10058,0
47472,0
15908,0
46126,0
11704,0
10275,0
9401,0
31697,1
10056,0
8353,0
47468,1
41845,0
10395,0
31836,0
38870,0
43452,0
19722,1
36600,0
2925,1
44215,0
42882,0
46549,0
10893,0
36654,0
30315,1
33929,0
38480,0
15130,0
27650,0
13589,0
44457,0
27016,1
16971,1
11556,0
6828,0
236,0
13164,0
32828,0
36383,0
43502,0
5272,0
10472,0
11084,0
48697,0
44683,0
15647,1
4356,0
5060,0
1294,0
28184,0
47057,0
37487,1
36347,0
21356,0
1240,1
14132,0
40216,0
13412,0
24280,0
1010,0
16539,1
47904,0
41795,0
36907,0
2043,1
7960,0
34274,1
22908,0
19361,0
43040,0
37292,0
23004,0
46393,0
22626,0
43157,1
8807,0
16794,0
18005,1
27707,0
12217,0
7513,1
28269,0
35526,0
8053,0
14887,0
44547,0
41783,0
15411,1
3497,1
2489,0
18605,0
41767,1
40996,0
9704,0
30971,1
16144,0
36407,0
27465,0
22517,0
22219,0
6399,0
29231,0
36030,1
24532,0
10491,0
18248,1
27071,1
15302,0
4709,1
38702,0
26482,0
16595,0
25934,0
12693,1
4733,0
15970,0
13440,0
40660,1
4357,0
22855,0
1604,0
40314,0
41160,0
42168,0
11577,1
2178,1
40797,1
40260,0
19742,0
35051,0
38463,0
27637,1
30055,0
42991,0
37547,0
35180,1
35182,1
26806,1
46775,0
18990,1
14611,0
41902,1
14964,0
47063,0
13310,1
45312,0
48598,1
11176,1
48384,0
13801,0
47869,1
32139,1
1937,0
20634,0
3578,1
39493,0
30612,0
45655,0
5827,0
44565,0
27168,1
48234,0
3306,0
19654,0
36338,0
23283,0
6274,0
37513,1
11452,0
45921,1
41384,0
37884,0
41127,0
18132,1
12674,0
48729,0
3998,0
14451,0
24585,0
37306,0
11594,0
3627,0
18109,0
16281,0
21941,0
27979,1
30208,0
29025,0
31553,0
21904,0
21198,1
40934,0
43486,0
44561,1
27222,0
20581,0
47625,0
23594,0
29747,0
11666,0
36563,0
8899,0
34732,1
6904,1
21723,1
14934,0
5888,0
6725,0
14295,0
16520,0
4197,0
33232,0
35012,0
35064,0
27092,0
18021,1
37635,0
20907,0
6955,0
48679,0
40420,0
15644,1
24833,0
5968,1
45902,0
46240,0
23065,0
24430,0
48654,0
12870,0
46047,0
4660,0
45305,1
12351,0
45957,0
5350,0
48562,0
39047,0
29736,0
17945,1
10718,0
26507,0
4459,0
24877,0
34509,0
8466,0
40259,0
2952,0
15062,0
14130,0
26715,1
23819,0
3326,0
32383,0
48812,0
12015,1
43719,0
24571,1
22127,0
39096,1
44265,0
29873,1
28337,1
44992,0
32089,0
4720,0
28697,0
13150,0
20388,0
18443,1
29856,0
23196,1
28073,0
46976,1
9298,0
4971,0
44188,0
18681,1
43797,0
14577,0
12355,1
5379,0
26311,0
13714,1
31123,0
23704,0
41052,0
9283,0
4028,0
24674,0
30133,0
38643,0
32587,0
40924,0
47079,0
32978,0
7033,1
16414,0
18219,1
28191,0
26462,0
24458,0
36596,0
29640,0
47427,0
27040,0
19402,0
22332,1
32809,1
19778,0
18148,0
30583,0
42171,0
48760,0
39656,0
10752,1
38628,0
30660,0
46785,1
42358,0
2480,0
16357,0
10866,1
44327,0
20499,0
47210,1
7392,0
27684,0
6852,0
19945,1
16955,0
36431,0
28583,0
25489,0
32174,0
47889,0
19452,0
1583,1
27884,0
39774,0
35532,0
5403,0
9448,0
43043,0
31991,0
4639,1
20019,0
30437,0
46799,0
20781,0
12179,1
26256,0
38072,0
10165,0
22192,0
12624,1
13325,0
8105,1
4246,1
2966,0
17493,1
21559,0
21088,0
38994,0
31303,0
26278,0
41844,0
7923,0
22628,0
19758,0
23150,0
47316,1
6706,0
468,1
7650,0
8298,0
38910,1
7803,0
15327,0
43286,0
21144,0
11878,1
11009,0
22145,1
8686,1
2785,0
42287,0
43323,0
2113,0
32629,0
26999,0
45791,0
5279,0
38873,1
27942,1
8200,0
11326,0
8089,0
45839,0
13039,1
20819,1
13686,0
32363,0
32948,0
6425,0
7406,0
19381,0
10038,0
27456,1
5598,0
33739,0
16267,0
16843,0
6944,0
35975,0
9780,1
42131,1
24774,0
17608,0
38612,1
45473,1
13280,0
46688,0
10374,0
30724,1
17981,0
24329,1
43654,0
21679,0
28247,0
13608,0
32037,0
44332,1
37411,0
48412,0
31143,0
19298,1
38118,1
2252,1
3797,0
29600,0
12721,1
4542,0
35270,0
46802,0
31725,0
7419,0
23270,0
29815,0
16083,0
45994,0
21411,0
42447,0
31860,0
17373,0
27529,0
6258,0
7490,0
14941,0
24782,0
48714,1
16623,0
37764,0
41192,1
9350,0
42904,0
38090,0
32400,1
23052,1
8177,1
37229,0
47843,0
17783,0
47615,1
18546,0
2013,0
38682,0
8115,0
21655,0
14183,0
41430,0
34001,0
30741,0
12305,0
14495,0
42872,0
2469,1
5095,0
12043,0
43829,0
33489,0
37904,1
45309,0
45807,0
43028,1
46423,1
28189,0
27127,0
24660,0
40883,0
28188,0
18042,1
29524,0
16596,1
43241,0
16819,0
21236,0
2740,1
34865,0
348,0
21163,1
13111,0
12087,0
18580,0
47160,0
4183,0
11990,1
9977,0
40290,1
25915,1
2601,0
19139,0
40974,0
12244,0
28190,0
3009,0
21902,1
250,1
17953,0
38821,0
29705,0
8874,1
47394,0
18702,1
44194,1
2111,0
22458,1
30452,0
1067,0
15031,0
27433,0
10788,0
15767,1
30746,0
4946,0
34178,0
9608,0
35253,0
37244,0
34347,0
22080,0
4948,0
34100,0
13577,1
33555,1
35617,0
34890,1
17536,0
17560,0
14797,0
9047,0
48446,0
20886,0
39681,0
22565,0
29892,1
13253,0
31494,0
47202,0
11345,1
1547,0
27272,0
28959,0
42114,0
44539,0
10962,1
19582,0
27139,0
45947,1
31465,0
2465,1
29847,1
28009,0
17921,1
46432,1
33567,0
48653,0
47752,1
48708,0
35827,0
8455,0
19704,0
48091,0
36981,0
37223,0
28209,1
12140,0
3825,0
35636,0
15237,0
8014,0
12352,0
27665,0
41306,0
10116,0
31894,1
6269,0
32699,0
43827,0
13758,0
311,1
3262,1
35467,1
34539,1
48025,1
1482,1
14930,0
29153,0
45205,0
6704,0
4808,1
15270,0
46965,0
996,0
41037,0
42006,1
5680,0
6553,0
23474,1
7241,0
48668,1
16075,0
41854,0
16034,1
26216,0
11712,1
37647,0
43013,1
6790,0
39151,1
25511,0
14290,0
47584,0
37881,0
9915,0
32376,0
27500,0
32619,1
7194,1
43196,0
8363,1
22890,1
41989,0
16013,0
32917,0
20970,0
41532,0
31818,0
31122,0
46148,0
42594,0
24079,0
42273,0
35718,0
6638,0
2968,1
2212,0
36809,0
14773,1
27959,0
35338,0
19665,0
37378,0
47176,0
19635,1
10982,0
8808,0
26488,1
45454,0
13195,0
33777,0
32220,0
24402,0
28752,0
24331,0
27818,0
42589,0
1847,0
37429,1
39252,0
16962,0
47853,0
34483,0
31816,1
29143,0
38771,0
4564,0
37226,0
3862,1
4714,0
22882,1
44753,1
39893,1
2863,0
34144,0
39478,1
15899,0
46967,0
5926,0
48681,1
33107,0
48652,0
19018,0
17037,0
11146,1
26743,0
40257,0
4108,0
47237,0
1330,0
29344,0
45392,1
4621,0
10916,0
29860,1
42835,0
3,0
39117,0
7701,1
18775,0
7031,1
35033,1
32681,0
21298,0
37657,0
22725,0
44339,0
21745,0
27401,0
6600,0
2188,0
31362,0
4102,0
28608,0
37435,0
28647,0
23213,0
14567,0
16511,0
45332,0
45581,0
28174,1
30751,0
9063,1
4975,0
29998,0
45409,0
1453,1
15124,0
25245,0
7429,0
7063,0
41683,0
18799,0
26304,0
48139,0
10178,0
32464,1
20711,0
47578,0
19988,1
23231,1
46556,0
38516,0
9120,0
2833,1
20172,0
16115,0
2784,0
40380,0
5451,0
2093,1
9607,0
24301,0
2902,0
27502,0
47482,0
8731,0
11136,0
33172,1
28716,0
20264,0
27591,0
39828,0
43707,1
45067,0
31089,0
4586,0
45374,0
46704,1
18796,0
47684,1
6839,0
18371,0
3352,0
26335,0
4274,0
1522,0
26244,0
15255,0
40707,1
25093,0
45622,1
20558,0
32365,1
12593,0
16360,0
41025,0
24982,0
28618,0
48591,1
41522,1
32803,0
14971,0
21919,0
44895,0
44632,0
36722,1
15876,0
34647,0
44848,0
1360,0
37851,0
28955,0
39110,0
3613,0
37431,0
18384,0
7810,0
35201,1
36499,0
14040,0
17190,0
40780,0
25927,0
36084,0
17867,1
47209,1
32292,1
43709,0
45905,0
47586,1
46033,0
31554,0
34374,0
45523,0
2545,0
44896,0
7117,1
29818,0
14607,0
44544,1
32529,0
29249,1
46401,1
20416,0
38545,0
47633,0
2320,0
33783,1
24413,0
7977,1
35382,0
39974,0
34457,1
22348,0
5363,0
33420,0
14470,1
22428,1
45095,1
11045,0
37819,1
6550,0
17111,0
4237,0
6875,0
45689,0
27934,0
44708,1
17377,1
6352,1
32190,0
6441,0
28811,0
2291,0
48656,0
15084,0
14444,0
30434,0
33785,0
5408,1
2481,1
16059,0
73,0
38317,1
33073,0
26705,0
47590,0
12009,0
11429,0
1689,1
20124,0
45328,0
6462,0
23181,1
30524,0
6895,0
7958,1
28119,0
30850,0
19966,0
16757,1
45363,0
12586,0
32370,1
47931,1
13540,0
46553,1
4976,1
11101,0
31273,0
13873,0
17751,0
24927,0
25557,0
26516,0
33377,0
29401,1
6133,0
13860,0
46699,1
20759,0
45217,0
21758,0
44137,0
40056,0
26681,1
10810,0
1133,0
16149,0
40827,0
32919,0
38292,1
45358,1
16624,0
2862,0
3336,1
19004,0
28193,0
41689,0
6226,0
3368,1
12021,1
43268,1
21245,1
45691,0
16968,0
41797,0
30378,0
43468,1
41830,0
38348,0
14167,0
23448,0
8940,0
47007,1
4766,0
46252,1
8156,0
309,1
5980,1
14931,0
29772,1
25510,0
19318,0
3649,0
24249,0
33721,0
12098,0
36742,0
18285,1
46696,1
21909,0
46204,0
5495,0
19994,0
8887,0
11956,0
11943,1
13990,0
45350,0
38836,0
4933,0
30839,1
39631,0
38530,0
24789,0
33239,0
